range,percentage,min,max,fund_slug
"$50,000,000+",0.0,50000000,,stronghold-resource-partners
"$0 - $1,000,000",33.33,0,1000000.0,bbsfinance
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bbsfinance
"$3,000,000 - $10,000,000",66.67,3000000,10000000.0,bbsfinance
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bbsfinance
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bbsfinance
"$50,000,000+",0.0,50000000,,bbsfinance
"$0 - $1,000,000",0.0,0,1000000.0,orion-protocol
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,orion-protocol
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,orion-protocol
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,orion-protocol
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,orion-protocol
"$50,000,000+",0.0,50000000,,orion-protocol
"$0 - $1,000,000",0.0,0,1000000.0,fosun-international
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,fosun-international
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,fosun-international
"$10,000,000 - $20,000,000",100.0,10000000,20000000.0,fosun-international
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,fosun-international
"$50,000,000+",0.0,50000000,,fosun-international
"$0 - $1,000,000",0.0,0,1000000.0,shenzhen-capital
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,shenzhen-capital
"$3,000,000 - $10,000,000",20.0,3000000,10000000.0,shenzhen-capital
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,shenzhen-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,shenzhen-capital
"$50,000,000+",20.0,50000000,,shenzhen-capital
"$0 - $1,000,000",0.0,0,1000000.0,dealean-capital
"$1,000,000 - $3,000,000",66.67,1000000,3000000.0,dealean-capital
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,dealean-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,dealean-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,dealean-capital
"$50,000,000+",0.0,50000000,,dealean-capital
"$0 - $1,000,000",0.0,0,1000000.0,bancor
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bancor
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,bancor
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bancor
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bancor
"$50,000,000+",0.0,50000000,,bancor
"$0 - $1,000,000",0.0,0,1000000.0,canaan-partners
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,canaan-partners
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,canaan-partners
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,canaan-partners
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,canaan-partners
"$50,000,000+",50.0,50000000,,canaan-partners
"$0 - $1,000,000",0.0,0,1000000.0,tcv
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,tcv
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,tcv
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,tcv
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,tcv
"$50,000,000+",100.0,50000000,,tcv
"$0 - $1,000,000",100.0,0,1000000.0,bta-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bta-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,bta-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bta-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bta-ventures
"$50,000,000+",0.0,50000000,,bta-ventures
"$0 - $1,000,000",0.0,0,1000000.0,shasta-ventures
