id,slug,name,tier,category,country,tabs,fund_slug
2119,danish-chaudhry,Danish Chaudhry,4.0,"{'id': 9, 'name': 'Angel Investor', 'slug': 'angel-investor'}",United Kingdom,"['analytics', 'fundingRounds', 'portfolio']",danish-chaudhry
9027,sui-foundation,Sui Foundation,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sui-foundation
9624,defisquared,DefiSquared,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",defisquared
7142,dext-force,DEXT Force Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",dext-force
1226,lightshift-capital,Lightshift Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Portugal,"['analytics', 'fundingRounds', 'portfolio']",lightshift-capital
11015,evolution-venture,Evolution VC,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",evolution-venture
11013,opportuna,Opportuna,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",opportuna
10092,quantumlight,QuantumLight,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United Kingdom,"['analytics', 'fundingRounds', 'portfolio']",quantumlight
1898,keisuke-honda-xksk,X&KSK,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Japan,"['analytics', 'fundingRounds', 'portfolio']",keisuke-honda-xksk
9904,metalpha,Metalpha,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",metalpha
9743,d11-labs,D11 Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",d11-labs
904,cadenza-ventures,Cadenza Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",cadenza-ventures
2941,side-door-ventures,Side Door Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",side-door-ventures
692,blockwall,Blockwall,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Germany,"['analytics', 'fundingRounds', 'portfolio']",blockwall
10264,scb-limited,SCB Limited,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",scb-limited
10347,mentat-group,Mentat Group,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",mentat-group
10956,bolts-capital,Bolts Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",bolts-capital
11000,crucible-capital,Crucible Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",crucible-capital
10990,frictionless,Frictionless Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",frictionless
