name,code,normal,lead,categories,fund_slug
Singapore,SG,4,0,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 75.0}, {'name': 'CeFi', 'count': 1, 'percent': 25.0}]",antalpha-ventures
China,CN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",summer-ventures
France,FR,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fasanara-digital
Israel,IL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fasanara-digital
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fasanara-digital
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fasanara-digital
United States,US,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",fasanara-digital
Canada,CA,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",trinito
China,CN,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",trinito
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",taiko
Switzerland,CH,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",white-loop-capital
United States,US,3,0,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 100.0}]",hash3
India,IN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",hash3
China,CN,4,0,"[{'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'CeFi', 'count': 1, 'percent': 25.0}]",puzzle-ventures
Singapore,SG,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'NFT', 'count': 1, 'percent': 33.33}]",puzzle-ventures
United States,US,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",puzzle-ventures
Israel,IL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",puzzle-ventures
Japan,JP,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",puzzle-ventures
Hong Kong,HK,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",puzzle-ventures
