range,percentage,min,max,fund_slug
"$1,000,000 - $3,000,000",27.27,1000000,3000000.0,bryan-pellegrino
"$3,000,000 - $10,000,000",54.55,3000000,10000000.0,bryan-pellegrino
"$10,000,000 - $20,000,000",9.09,10000000,20000000.0,bryan-pellegrino
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bryan-pellegrino
"$50,000,000+",0.0,50000000,,bryan-pellegrino
"$0 - $1,000,000",0.0,0,1000000.0,consensys
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,consensys
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,consensys
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,consensys
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,consensys
"$50,000,000+",5.0,50000000,,consensys
"$0 - $1,000,000",0.0,0,1000000.0,multicoin-capital
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,multicoin-capital
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,multicoin-capital
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,multicoin-capital
"$20,000,000 - $50,000,000",30.0,20000000,50000000.0,multicoin-capital
"$50,000,000+",5.0,50000000,,multicoin-capital
"$0 - $1,000,000",0.0,0,1000000.0,black-rock
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,black-rock
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,black-rock
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,black-rock
"$20,000,000 - $50,000,000",14.29,20000000,50000000.0,black-rock
"$50,000,000+",85.71,50000000,,black-rock
"$0 - $1,000,000",0.0,0,1000000.0,raj-gokal
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,raj-gokal
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,raj-gokal
"$10,000,000 - $20,000,000",5.0,10000000,20000000.0,raj-gokal
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,raj-gokal
"$50,000,000+",5.0,50000000,,raj-gokal
"$0 - $1,000,000",0.0,0,1000000.0,pantera-capital
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,pantera-capital
"$3,000,000 - $10,000,000",25.0,3000000,10000000.0,pantera-capital
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,pantera-capital
"$20,000,000 - $50,000,000",40.0,20000000,50000000.0,pantera-capital
"$50,000,000+",10.0,50000000,,pantera-capital
