name,icon,date,raise,fund_name,fund_image,stage
Spice AI,https://img.cryptorank.io/coins/60x60.spice_ai1662646599576.png,2022-09-07T00:00:00.000Z,13500000,Madrona Venture Group,https://img.cryptorank.io/funds/60x60.madrona_venture_group1662641198503.png,SEED
Magpie Protocol,https://img.cryptorank.io/coins/60x60.magpie_protocol1662656124308.png,2022-09-07T00:00:00.000Z,3000000,Jump Crypto,https://img.cryptorank.io/funds/60x60.jump_crypto1660216112246.png,SEED
Sui,https://img.cryptorank.io/coins/60x60.sui1683272105699.png,2021-12-06T00:00:00.000Z,36000000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,SERIES A
Slide,https://img.cryptorank.io/coins/60x60.slide1662716124390.png,2022-09-08T00:00:00.000Z,12300000,Polychain Capital,https://img.cryptorank.io/funds/60x60.polychain_capital1680073683609.png,SEED
VerifyVASP,https://img.cryptorank.io/coins/60x60.verify_vasp1662730863623.png,2022-09-08T00:00:00.000Z,5000000,FTX Ventures,https://img.cryptorank.io/funds/60x60.ftx ventures1649435357799.png,SERIES A
HotStreak,https://img.cryptorank.io/coins/60x60.hot_streak1662732514104.png,2022-09-07T00:00:00.000Z,9000000,Polychain Capital,https://img.cryptorank.io/funds/60x60.polychain_capital1680073683609.png,SERIES A
Community Labs,https://img.cryptorank.io/coins/60x60.community_labs1662734446658.png,2022-09-08T00:00:00.000Z,30000000,Lightspeed Venture Partners,https://img.cryptorank.io/funds/60x60.lightspeed_venture_partners1657880471226.png,Undisclosed
Rated,https://img.cryptorank.io/coins/60x60.rated1662746896815.png,2022-09-08T00:00:00.000Z,2500000,1confirmation,https://img.cryptorank.io/funds/60x60.1confirmation1648545497207.png,SEED
SPACE ID,https://img.cryptorank.io/coins/60x60.space_id1662106300913.png,2022-09-02T00:00:00.000Z,,YZi Labs (Prev. Binance Labs),https://img.cryptorank.io/funds/60x60.y_zi_labs_prev_binance_labs1737641288277.png,SEED
Stack,https://img.cryptorank.io/coins/60x60.stack1662972702338.png,2022-09-09T00:00:00.000Z,2700000,Madrona Venture Group,https://img.cryptorank.io/funds/60x60.madrona_venture_group1662641198503.png,Undisclosed
Mailchain,https://img.cryptorank.io/coins/60x60.mailchain1662985299702.png,2022-09-08T00:00:00.000Z,4600000,Kenetic Capital,https://img.cryptorank.io/funds/60x60.kenetic capital1648483209225.png,SEED
Functionland,https://img.cryptorank.io/coins/60x60.functionland1663078640637.png,2022-01-25T00:00:00.000Z,1100000,Protocol Labs,https://img.cryptorank.io/funds/60x60.protocol_labs1662643032114.png,SEED
