coinKey,coinName,follower_id,follower_name,follower_username,follower_image,follower_twitterScore,follower_followersCount,relatedEntity_fund,relatedEntity_coin
magpie-protocol,Fly (prev. Magpie Protocol),679,"Sandeep | Polygon (※,※)",sandeepnailwal,https://pbs.twimg.com/profile_images/1920408360383352832/wdwIMN5C_normal.jpg,15033.0,339056,sandeep-nailwal,
magpie-protocol,Fly (prev. Magpie Protocol),759,Andre Cronje,AndreCronjeTech,https://pbs.twimg.com/profile_images/1895238831282028544/Cf5mbQcT_normal.jpg,20452.0,439153,andre-cronje,
magpie-protocol,Fly (prev. Magpie Protocol),1175,Mando,rektmando,https://pbs.twimg.com/profile_images/1593307551457738752/xT7UmPH0_normal.jpg,11673.0,172053,,
magpie-protocol,Fly (prev. Magpie Protocol),85009,Sonic Labs,SonicLabs,https://pbs.twimg.com/profile_images/1886106303262490624/3rEXurVD_normal.jpg,10937.0,861893,,fantom
sui,Sui,138,fwiz.eth,Fwiz,https://pbs.twimg.com/profile_images/1893805128010047488/_41ZOD7e_normal.jpg,11720.0,412518,ryan-wyatt,
sui,Sui,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
sui,Sui,599,DEGEN NEWS,DegenerateNews,https://pbs.twimg.com/profile_images/1551586710873550848/8_M8f6ds_normal.jpg,12335.0,384992,,
sui,Sui,882,notsofast,notsofast,https://pbs.twimg.com/profile_images/1893998683089215488/jyu0ulIF_normal.png,12305.0,200799,,
sui,Sui,9962,McKenna,Crypto_McKenna,https://pbs.twimg.com/profile_images/1911056796963237888/L-kUQOtr_normal.jpg,12201.0,99375,,
slide,Slide,37,mikedemarais.eth (on fartcaster),mikedemarais,https://pbs.twimg.com/profile_images/1882122375795224576/fgkp8Wqv_normal.jpg,11215.0,56692,,
slide,Slide,488,DeFi Dad ⟠ defidad.eth,DeFi_Dad,https://pbs.twimg.com/profile_images/1613764698775633921/72tL5YzB_normal.jpg,14737.0,168002,defi-dad,
slide,Slide,568,Vance Spencer,pythianism,https://pbs.twimg.com/profile_images/1879594071167275008/jZW5hWMS_normal.jpg,16522.0,117230,,
slide,Slide,879,SpiderCrypto 🧑‍🍳🧲,SpiderCrypto0x,https://pbs.twimg.com/profile_images/1881407589935628288/4L1lU0KQ_normal.jpg,11946.0,110770,,
slide,Slide,2018,DeeZe ⛳🏌️‍♂️,DeeZe,https://pbs.twimg.com/profile_images/1902173684149747712/zpm6QNQ6_normal.jpg,16598.0,274714,,
hotstreak,HotStreak,743,Minion,0xminion,https://pbs.twimg.com/profile_images/1745175242543382528/YQwa4A1l_normal.jpg,8051.0,27557,,
hotstreak,HotStreak,1387,DCF GOD,dcfgod,https://pbs.twimg.com/profile_images/1856079545780125696/JQkZlaHt_normal.jpg,15894.0,97448,dcf-god,
hotstreak,HotStreak,2020,Frank,frankdegods,https://pbs.twimg.com/profile_images/1875856094003712000/uPMXWOrl_normal.jpg,14981.0,419109,frank-degods,
hotstreak,HotStreak,5195,st3ve.eth,steveklbnf,https://pbs.twimg.com/profile_images/1882896218805936128/yeSLGi4g_normal.jpg,3380.0,6855,steve-klebnoff,
hotstreak,HotStreak,20855,MVP🐻⛓️,BeraMVP,https://pbs.twimg.com/profile_images/1813586223006355456/uh2IZYM0_normal.jpg,3736.0,15932,,
rated,Rated,504,Chris Burniske,cburniske,https://pbs.twimg.com/profile_images/1494841994572562433/I-j4N9Z7_normal.jpg,19583.0,325238,,
rated,Rated,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
rated,Rated,518,Darren Lau,Darrenlautf,https://pbs.twimg.com/profile_images/1862881065989558272/cUyKy8iH_normal.jpg,18790.0,158177,,
rated,Rated,596,loomdart - Holy War Arc,loomdart,https://pbs.twimg.com/profile_images/1890221706104508416/f_NKIFhr_normal.jpg,20440.0,321534,,
rated,Rated,830,Solana,solana,https://pbs.twimg.com/profile_images/1472933274209107976/6u-LQfjG_normal.jpg,19658.0,3399796,,solana
space-id,SPACE ID,689,redphone ☎️,redphonecrypto,https://pbs.twimg.com/profile_images/1920927361438044160/vwXihuHv_normal.jpg,11202.0,60664,,
