coinKey,coinName,raise,coinImage,fund_name,fund_key,fund_image,fund_tier,fund_type,fund_category,fund_category_slug,fund_totalInvestments
limit-break,Limit Break,200000000.0,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,SV Angel,sv-angel,https://img.cryptorank.io/funds/60x60.sv_angel1658825671796.png,3.0,NORMAL,Venture,venture,56
limit-break,Limit Break,200000000.0,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,FTX Ventures,ftx-ventures,https://img.cryptorank.io/funds/60x60.ftx ventures1649435357799.png,,NORMAL,Exchange,exchange,72
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,1kx,1kx,https://img.cryptorank.io/funds/60x60.1_kx1680104859372.png,2.0,LEAD,Venture,venture,109
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Coinbase Ventures,coinbase-ventures,https://img.cryptorank.io/funds/60x60.coinbase ventures1648494875227.png,1.0,NORMAL,Venture,venture,407
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Blockchain Capital,blockchain-capital,https://img.cryptorank.io/funds/60x60.blockchain capital1648497425517.png,1.0,NORMAL,Venture,venture,120
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Digital Currency Group (DCG),dcg-group,https://img.cryptorank.io/funds/60x60.digital_currency_group_dcg1730385253254.png,2.0,NORMAL,Venture,venture,264
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,GSR,gsr,https://img.cryptorank.io/funds/60x60.gsr1657871732754.png,2.0,NORMAL,Venture,venture,177
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,CMT Digital,cmt-digital,https://img.cryptorank.io/funds/60x60.cmt digital1653987824344.png,2.0,NORMAL,Venture,venture,139
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Fenbushi Capital,fenbushi-capital,https://img.cryptorank.io/funds/60x60.fenbushi capital1648564978976.png,2.0,NORMAL,Venture,venture,138
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,IOSG Ventures,iosg,https://img.cryptorank.io/funds/60x60.iosg_ventures1714033674294.png,2.0,NORMAL,Venture,venture,134
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,ParaFi Capital,paraficapital,https://img.cryptorank.io/funds/60x60.para_fi_capital1724223633114.png,2.0,NORMAL,Venture,venture,119
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Lightspeed Venture Partners,lightspeed-venture-partners,https://img.cryptorank.io/funds/60x60.lightspeed_venture_partners1657880471226.png,2.0,NORMAL,Venture,venture,83
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,The LAO,thelao,https://img.cryptorank.io/funds/60x60.the lao1651847335639.png,2.0,NORMAL,DAO,dao,79
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Tiger Global Management,tiger-global-management,https://img.cryptorank.io/funds/60x60.tiger_global_management1657715555653.png,2.0,NORMAL,Venture,venture,72
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,RockawayX,rockaway-blockchain-fund,https://img.cryptorank.io/funds/60x60.rockaway_x1681460127443.png,2.0,NORMAL,Venture,venture,45
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Signum Capital,signum-capital,https://img.cryptorank.io/funds/60x60.signum capital1649160110921.png,3.0,NORMAL,Venture,venture,122
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,LongHash Ventures,longhashvc,https://img.cryptorank.io/funds/60x60.longhash ventures1649418223202.png,3.0,NORMAL,Venture,venture,99
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Bixin Ventures,bixin-ventures,https://img.cryptorank.io/funds/60x60.bixin_ventures1657883420695.png,3.0,NORMAL,Venture,venture,63
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,A&T Capital,at-capital,https://img.cryptorank.io/funds/60x60.a_t_capital1658233240870.png,3.0,NORMAL,Venture,venture,32
safe-new,Safe,100000000.0,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,Global Coin Research,global-coin-research,https://img.cryptorank.io/funds/60x60.global_coin_research1658929744400.png,3.0,NORMAL,Corporation,corporate,30
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,DragonFly Capital,dragon-fly-capital,https://img.cryptorank.io/funds/60x60.dragon_fly_capital1660640000289.png,1.0,NORMAL,Venture,venture,184
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Delphi Ventures,delphi-ventures,https://img.cryptorank.io/funds/60x60.delphi_ventures1718265261028.png,1.0,NORMAL,Venture,venture,140
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,ParaFi Capital,paraficapital,https://img.cryptorank.io/funds/60x60.para_fi_capital1724223633114.png,2.0,NORMAL,Venture,venture,119
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Collab+Currency,collab-currency,https://img.cryptorank.io/funds/60x60.collab_currency1680104428423.png,3.0,NORMAL,Venture,venture,86
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Uniswap Labs Ventures,uniswap-labs-ventures,https://img.cryptorank.io/funds/60x60.uniswap_labs_ventures1657896020778.png,3.0,NORMAL,Venture,venture,25
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Ready Player DAO,ready-player-dao,https://img.cryptorank.io/funds/60x60.ready_player_dao1662373259345.png,4.0,NORMAL,DAO,dao,14
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Milk Road,milk-road,https://img.cryptorank.io/funds/60x60.milk_road1662374634787.png,4.0,NORMAL,Corporation,corporate,1
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,gmoney,gmoney,https://img.cryptorank.io/funds/60x60.gmoney1684920233426.png,,NORMAL,Angel Investor,angel-investor,39
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Zedd Yin,zedd-yin,https://img.cryptorank.io/funds/60x60.zedd_yin1662373087581.png,,NORMAL,Angel Investor,angel-investor,2
internet-game,Internet Game,7000000.0,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,Rus Yusupov,rus-yusupov,https://img.cryptorank.io/funds/60x60.rus_yusupov1662372948903.png,,NORMAL,Angel Investor,angel-investor,1
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Shima Capital,shima-capital,https://img.cryptorank.io/funds/60x60.shima capital1649326068961.png,2.0,NORMAL,Venture,venture,200
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,GBV Capital,gbv-capital,https://img.cryptorank.io/funds/60x60.gbv capital1648587318933.png,2.0,NORMAL,Venture,venture,152
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Genblock Capital,genblock-capital,https://img.cryptorank.io/funds/60x60.genblock capital1651505948632.png,2.0,NORMAL,Venture,venture,105
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Hack VC,hack-vc,https://img.cryptorank.io/funds/60x60.hack_vc1722590520258.png,2.0,NORMAL,Venture,venture,104
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Hypersphere Ventures,hypersphereventures,https://img.cryptorank.io/funds/60x60.hypersphere_ventures1737618413682.png,2.0,NORMAL,Venture,venture,103
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,LD Capital,ld-capital,https://img.cryptorank.io/funds/60x60.ld capital1648633005413.png,3.0,NORMAL,Venture,venture,181
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,HTX Ventures,huobi-capital,https://img.cryptorank.io/funds/60x60.huobi_capital1695744151086.png,3.0,NORMAL,Exchange,exchange,118
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Crypto.com Capital,crypto-com-capital,https://img.cryptorank.io/funds/60x60.crypto.com capital1648570634958.png,3.0,NORMAL,Exchange,exchange,64
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Rarestone Capital,rarestone-capital,https://img.cryptorank.io/funds/60x60.rarestone_capital1658398892077.png,3.0,NORMAL,Venture,venture,64
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,D1 Ventures,d1-ventures,https://img.cryptorank.io/funds/60x60.d_1_ventures1658314745326.png,3.0,NORMAL,Venture,venture,58
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,TRGC,trgc,https://img.cryptorank.io/funds/60x60.trgc1658481174034.png,3.0,NORMAL,Venture,venture,41
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Kosmos Ventures,kosmos-ventures,https://img.cryptorank.io/funds/60x60.kosmos_ventures1658834851916.png,3.0,NORMAL,Venture,venture,36
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Krypital Group,krypital-group,https://img.cryptorank.io/funds/60x60.krypital_group1658406027379.png,3.0,NORMAL,Venture,venture,31
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,GHAF Capital Partners,ghaf-capital-partners,https://img.cryptorank.io/funds/60x60.ghaf_capital_partners1659688038044.png,3.0,NORMAL,Venture,venture,24
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Old Fashion Research,ofrfund,https://img.cryptorank.io/funds/60x60.old_fashion_research1665393517242.png,3.0,NORMAL,Venture,venture,18
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,ROK Capital,rok-capital,https://img.cryptorank.io/funds/60x60.rok_capital1658993703522.png,3.0,NORMAL,Venture,venture,17
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Alphanonce,alphanonce,https://img.cryptorank.io/funds/60x60.alphanonce1662560600960.png,3.0,NORMAL,Venture,venture,7
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,IOST Foundation,iost-foundation,https://img.cryptorank.io/funds/60x60.iost_foundation1667982396130.png,3.0,NORMAL,Venture,venture,6
boba-network,Boba Network,45000000.0,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,Infinity Capital,infinity-capital,https://img.cryptorank.io/funds/60x60.infinity_capital1658740063357.png,3.0,NORMAL,Venture,venture,5
