fund_slug,country,count
sequoia-capital,Hong Kong,1
binance-labs,United States,9
binance-labs,Singapore,6
binance-labs,United Kingdom,2
binance-labs,Hong Kong,1
binance-labs,Sweden,1
binance-labs,Switzerland,1
santiago-santos,United States,11
santiago-santos,Australia,1
santiago-santos,Canada,1
santiago-santos,Cayman Islands,1
santiago-santos,Finland,1
santiago-santos,Hong Kong,1
bryan-pellegrino,Canada,1
bryan-pellegrino,Sweden,1
consensys,United States,8
consensys,France,2
consensys,Singapore,2
consensys,Argentina,1
consensys,Canada,1
consensys,Cayman Islands,1
multicoin-capital,United States,14
multicoin-capital,British Virgin Islands,1
multicoin-capital,Colombia,1
multicoin-capital,Estonia,1
multicoin-capital,South Korea,1
multicoin-capital,Switzerland,1
black-rock,United States,6
black-rock,France,1
raj-gokal,United States,6
raj-gokal,Canada,2
raj-gokal,India,1
raj-gokal,Japan,1
raj-gokal,South Korea,1
pantera-capital,United States,8
pantera-capital,Singapore,3
pantera-capital,France,2
pantera-capital,British Virgin Islands,1
pantera-capital,Canada,1
pantera-capital,Czech Republic,1
paul-veradittakit,United States,8
paul-veradittakit,India,2
paul-veradittakit,Australia,1
paul-veradittakit,Hong Kong,1
vitalik-buterin,Argentina,1
vitalik-buterin,United Kingdom,1
vitalik-buterin,United States,1
blockchain-capital,United States,13
blockchain-capital,United Kingdom,2
blockchain-capital,China,1
blockchain-capital,Cyprus,1
blockchain-capital,Japan,1
blockchain-capital,South Korea,1
alex-svanevik,United States,7
alex-svanevik,Canada,3
alex-svanevik,Singapore,3
alex-svanevik,Netherlands,1
alex-svanevik,Portugal,1
alex-svanevik,Switzerland,1
y-combinator,United States,15
y-combinator,Brazil,1
y-combinator,Canada,1
y-combinator,India,1
y-combinator,Mexico,1
y-combinator,Singapore,1
arthur-hayes,Canada,2
arthur-hayes,Singapore,1
arthur-hayes,South Africa,1
arthur-hayes,Switzerland,1
arthur-hayes,United States,1
animoca-brands,United States,10
animoca-brands,Singapore,3
animoca-brands,South Korea,2
animoca-brands,China,1
animoca-brands,Estonia,1
animoca-brands,Norway,1
quantstamp,United States,8
quantstamp,Canada,3
quantstamp,Israel,2
quantstamp,Singapore,2
quantstamp,Tanzania,2
quantstamp,India,1
jump-crypto,United States,14
jump-crypto,British Virgin Islands,1
jump-crypto,Hong Kong,1
jump-crypto,Serbia,1
jump-crypto,Singapore,1
jump-crypto,Ukraine,1
amber-group,United States,10
amber-group,Singapore,2
amber-group,Cayman Islands,1
amber-group,France,1
amber-group,Hong Kong,1
amber-group,India,1
greenfield-one,United States,8
greenfield-one,France,2
greenfield-one,United Kingdom,2
greenfield-one,Canada,1
greenfield-one,Germany,1
greenfield-one,India,1
tether,Georgia,3
tether,Germany,2
tether,Singapore,2
tether,Canada,1
tether,Hong Kong,1
tether,Israel,1
polygon-ventures,United States,12
polygon-ventures,Singapore,3
polygon-ventures,Portugal,2
polygon-ventures,Australia,1
polygon-ventures,India,1
polygon-ventures,Puerto Rico,1
mh-ventures,United States,13
mh-ventures,Singapore,2
mh-ventures,United Kingdom,2
mh-ventures,Bulgaria,1
mh-ventures,Sweden,1
mh-ventures,UAE,1
fenbushi-capital,United States,9
fenbushi-capital,Canada,2
fenbushi-capital,Hong Kong,2
fenbushi-capital,Singapore,2
fenbushi-capital,Australia,1
fenbushi-capital,France,1
robot-ventures,United States,15
robot-ventures,United Kingdom,2
robot-ventures,France,1
robot-ventures,Liechtenstein,1
robot-ventures,Singapore,1
infinity-ventures-crypto,United States,10
infinity-ventures-crypto,Japan,2
infinity-ventures-crypto,Singapore,2
infinity-ventures-crypto,United Kingdom,2
infinity-ventures-crypto,Canada,1
infinity-ventures-crypto,China,1
6th-man-ventures,United States,14
6th-man-ventures,Canada,2
6th-man-ventures,British Virgin Islands,1
6th-man-ventures,Germany,1
6th-man-ventures,Singapore,1
6th-man-ventures,United Kingdom,1
immutable,United States,4
immutable,Finland,1
immutable,Singapore,1
immutable,United Kingdom,1
hypersphereventures,United States,11
hypersphereventures,United Kingdom,3
hypersphereventures,British Virgin Islands,1
hypersphereventures,Cayman Islands,1
hypersphereventures,Portugal,1
hypersphereventures,Serbia,1
lightspeed-venture-partners,United States,10
lightspeed-venture-partners,Germany,3
lightspeed-venture-partners,Singapore,2
lightspeed-venture-partners,United Kingdom,2
lightspeed-venture-partners,Canada,1
lightspeed-venture-partners,Cayman Islands,1
rockaway-blockchain-fund,United States,6
rockaway-blockchain-fund,Germany,4
rockaway-blockchain-fund,France,2
rockaway-blockchain-fund,United Kingdom,2
rockaway-blockchain-fund,British Virgin Islands,1
rockaway-blockchain-fund,Canada,1
alliance-dao,United States,14
alliance-dao,Canada,2
alliance-dao,Colombia,1
alliance-dao,Hong Kong,1
alliance-dao,Norway,1
alliance-dao,Singapore,1
framework-ventures,United States,9
framework-ventures,India,2
framework-ventures,United Kingdom,2
framework-ventures,Australia,1
framework-ventures,Bermuda,1
framework-ventures,Canada,1
mirana-ventures,United States,11
mirana-ventures,Singapore,4
mirana-ventures,China,1
mirana-ventures,France,1
mirana-ventures,Israel,1
mirana-ventures,Italy,1
electric-capital,United States,15
electric-capital,Switzerland,2
electric-capital,British Virgin Islands,1
electric-capital,Canada,1
electric-capital,Singapore,1
standard-crypto,United States,11
standard-crypto,India,3
standard-crypto,Canada,1
standard-crypto,Singapore,1
standard-crypto,United Kingdom,1
standard-crypto,Vietnam,1
stellardf,United States,9
stellardf,Canada,1
stellardf,Colombia,1
stellardf,Mexico,1
stellardf,Senegal,1
stellardf,Switzerland,1
coin-fund,United States,10
coin-fund,Germany,2
coin-fund,Netherlands,2
coin-fund,United Kingdom,2
coin-fund,Cayman Islands,1
coin-fund,Hong Kong,1
variant,United States,16
variant,Cayman Islands,1
variant,France,1
variant,Singapore,1
variant,United Kingdom,1
unionsquare,United States,12
unionsquare,Switzerland,3
unionsquare,Canada,1
unionsquare,Cayman Islands,1
unionsquare,France,1
unionsquare,India,1
cmt-digital,United States,15
cmt-digital,China,1
cmt-digital,Denmark,1
cmt-digital,Estonia,1
cmt-digital,Israel,1
cmt-digital,Switzerland,1
paul-taylor,United States,7
paul-taylor,Germany,1
paul-taylor,United Kingdom,1
dcg-group,United States,17
dcg-group,Israel,2
dcg-group,Brazil,1
kucoin-labs,United States,6
kucoin-labs,Singapore,4
kucoin-labs,China,1
kucoin-labs,Germany,1
kucoin-labs,Israel,1
kucoin-labs,Japan,1
okx-ventures,United States,9
okx-ventures,Hong Kong,3
okx-ventures,Singapore,3
okx-ventures,China,2
okx-ventures,Cayman Islands,1
okx-ventures,Sweden,1
accel,United States,6
accel,India,5
accel,Canada,2
accel,Hong Kong,2
accel,Israel,1
accel,Serbia,1
sequoia-capital-china,China,3
sequoia-capital-china,Hong Kong,3
sequoia-capital-china,United States,3
sequoia-capital-china,Singapore,2
sequoia-capital-china,Israel,1
gsr,United States,6
gsr,United Kingdom,5
gsr,France,2
gsr,Australia,1
gsr,Estonia,1
gsr,Germany,1
distributedglobal,United States,14
distributedglobal,Switzerland,3
distributedglobal,United Kingdom,2
distributedglobal,Canada,1
slowventures,United States,17
slowventures,Canada,3
maven11,United States,8
maven11,Canada,2
maven11,United Kingdom,2
